Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Carolina Panthers,500,5871,5.5,3589,35,2282,19
Arizona Cardinals,489,6533,6.3,4616,35,1917,16
New England Patriots,465,5991,5.7,4587,36,1404,14
Seattle Seahawks,423,6058,5.9,3790,34,2268,10
Pittsburgh Steelers,423,6327,6.3,4603,26,1724,16
New York Giants,420,5956,5.7,4347,36,1609,5
Cincinnati Bengals,419,5728,5.7,3923,31,1805,18
New Orleans Saints,408,6461,5.9,4970,32,1491,16
Kansas City Chiefs,405,5299,5.5,3255,20,2044,19
Washington Redskins,388,5661,5.6,4095,30,1566,9
New York Jets,387,5925,5.5,4057,33,1868,11
Buffalo Bills,379,5775,5.7,3343,23,2432,19
Philadelphia Eagles,377,5830,5.3,4087,23,1743,15
Jacksonville Jaguars,376,5581,5.5,4108,35,1473,5
Green Bay Packers,368,5353,5.1,3503,31,1850,8
Minnesota Vikings,365,5139,5.3,2928,14,2211,18
Oakland Raiders,359,5336,5.3,3879,34,1457,7
Detroit Lions,358,5547,5.4,4212,33,1335,7
Denver Broncos,355,5688,5.4,3970,19,1718,13
Tampa Bay Buccaneers,342,6014,5.9,3852,22,2162,12
Atlanta Falcons,339,5985,5.6,4379,21,1606,13
Houston Texans,339,5564,4.9,3833,29,1731,7
Chicago Bears,335,5517,5.4,3663,21,1854,13
Indianapolis Colts,333,5142,4.9,3704,26,1438,6
Baltimore Ravens,328,5749,5.3,4271,21,1478,8
San Diego Chargers,320,5949,5.4,4591,30,1358,4
Miami Dolphins,310,5307,5.4,3811,24,1496,11
Tennessee Titans,299,4988,5.1,3503,25,1485,10
St. Louis Rams,280,4761,5.2,2805,11,1956,16
Cleveland Browns,278,5311,5.1,3782,20,1529,5
Dallas Cowboys,275,5361,5.5,3471,16,1890,8
San Francisco 49ers,238,4860,5.0,3316,16,1544,7
