Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
New England Patriots,250,5223,5.2,3806,21,1417,6
New York Giants,284,5435,5.1,4018,15,1417,10
Seattle Seahawks,292,5099,5.0,3612,16,1487,16
Denver Broncos,297,5057,4.7,2972,13,2085,15
Dallas Cowboys,306,5503,5.5,4167,25,1336,9
Minnesota Vikings,307,5038,5.1,3327,22,1711,9
Kansas City Chiefs,311,5896,5.5,3958,23,1938,10
Cincinnati Bengals,315,5612,5.4,3800,22,1812,12
Baltimore Ravens,321,5154,5.2,3724,28,1430,10
Pittsburgh Steelers,327,5482,5.5,3882,20,1600,15
Houston Texans,328,4821,5.1,3226,20,1595,13
Philadelphia Eagles,331,5484,5.6,3832,25,1652,10
Detroit Lions,358,5676,5.9,3975,33,1701,8
Arizona Cardinals,362,4883,4.8,3365,21,1518,16
Tampa Bay Buccaneers,369,5887,5.8,4012,24,1875,15
Tennessee Titans,378,5720,5.5,4307,25,1413,10
Buffalo Bills,378,5712,5.6,3582,19,2130,21
Miami Dolphins,380,6122,5.6,3875,30,2247,12
Washington Redskins,383,6046,5.8,4130,22,1916,19
Oakland Raiders,385,6001,6.1,4120,27,1881,18
Green Bay Packers,388,5823,5.9,4308,32,1515,11
Indianapolis Colts,392,6126,6.0,4200,27,1926,12
Los Angeles Rams,394,5392,5.2,3732,32,1660,12
Chicago Bears,399,5548,5.5,3598,22,1950,18
Jacksonville Jaguars,400,5147,5.0,3444,20,1703,17
Carolina Panthers,402,5756,5.6,4291,27,1465,11
Atlanta Falcons,406,5939,5.6,4267,31,1672,15
New York Jets,409,5479,5.5,3898,30,1581,11
San Diego Chargers,423,5554,5.4,3987,21,1567,20
Cleveland Browns,452,6279,5.9,3996,36,2283,18
New Orleans Saints,454,6006,6.0,4380,27,1626,19
San Francisco 49ers,480,6502,5.9,3848,30,2654,25
