,group,disjoint,M*A*S*H,Cheers,St. Elsewhere,Arrested Development,Iron Man,Homicide,The Wire,X-Files,Better Call Saul,The Walking Dead,Fear The Walking Dead,The Office (U.K.),Parks and Rec,The Office (U.S.),Breaking Bad,Law and Order: SVU,Law and Order,Law and Order: Criminal Intent,Law and Order: Trial by Jury,Law and Order: Organized Crime,Law and Order: LA,30 Rock,Mad Men,Castle,The Big Bang Theory,24,Bless The Harts,King of the Hill,The Simpsons,Futurama,Adventure Time,Family Guy,American Dad,South Park,Scooby Doo,Supernatural,Batman,Superman,Spiderman,Captain America,Hulk,X-Men,Deadpool,Alien,Predator,Evil Dead,A Nightmare on Elm Street,Friday the 13th,Star Trek,Doctor Who,Transformers
M*A*S*H,Live Action Comedy,1,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheers,Live Action Comedy,1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
St. Elsewhere,Live Action Drama,2,1,1,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrested Development,Live Action Comedy,1,,,,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Iron Man,Superhero,1,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,
Homicide,Live Action Drama,3,,,1,1,,-1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wire,Live Action Drama,1,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Files,Live Action Drama,1,,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Better Call Saul,Live Action Drama,1,,,,,,,,,-1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Walking Dead,Live Action Drama,2,,,,,,,,,,-1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear The Walking Dead,Live Action Drama,1,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Office (U.K.),Live Action Comedy,1,,,,,,,,,,,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parks and Rec,Live Action Comedy,1,,,,,,,,,,,,,-1,1,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
The Office (U.S.),Live Action Comedy,2,,,,,,,,,,,,1,1,-1,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaking Bad,Live Action Drama,3,,,,,,,,,1,1,,,1,1,-1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Order: SVU,Live Action Drama,2,,,,,,1,,,,,,,1,1,1,-1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Order,Live Action Drama,1,,,,,,1,,,,,,,,,,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Order: Criminal Intent,Live Action Drama,1,,,,,,,,,,,,,,,,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Order: Trial by Jury,Live Action Drama,1,,,,,,,,,,,,,,,,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law and Order: Organized Crime,Live Action Drama,1,,,,,,,,,,,,,,,,1,1,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
