id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Сумма,109204662,99579130,193652,48157320,8133713,43093749,8320802,48008888,1171581,55158109,1203,507,"10660669
18.93%","512418
0.91%","4252252
7.55%","2997744
5.32%","28064200
49.82%","4201744
7.46%","753268
1.34%","291465
0.52%","431530
0.77%","715621
1.27%","86964
0.15%","357870
0.64%","450449
0.80%","1381915
2.45%"
1,341943,335533,0,191841,41405,102254,41198,191297,3167,229328,52,19,"33871
14.57%","872
0.38%","15195
6.54%","6460
2.78%","154491
66.45%","9168
3.94%","800
0.34%","401
0.17%","2386
1.03%","1874
0.81%","173
0.07%","674
0.29%","736
0.32%","2227
0.96%"
2,160838,154203,624,68903,4757,79919,5381,68897,1683,72595,0,0,"22351
30.09%","750
1.01%","5830
7.85%","3658
4.92%","28600
38.50%","6576
8.85%","332
0.45%","111
0.15%","914
1.23%","1011
1.36%","58
0.08%","367
0.49%","407
0.55%","1630
2.19%"
3,504209,470533,0,332526,45669,92338,45631,332151,3181,374601,0,0,"52937
14.01%","1520
0.40%","36937
9.78%","7449
1.97%","257938
68.28%","8137
2.15%","1418
0.38%","636
0.17%","920
0.24%","1664
0.44%","438
0.12%","763
0.20%","723
0.19%","3121
0.83%"
4,524412,507472,0,355196,51307,100969,51306,354892,3570,402628,0,0,"50118
12.34%","1848
0.45%","30201
7.44%","8459
2.08%","289151
71.18%","10479
2.58%","1455
0.36%","863
0.21%","1187
0.29%","2431
0.60%","678
0.17%","888
0.22%","946
0.23%","3924
0.97%"
5,536125,503437,0,341645,49872,111920,49868,340540,3510,386898,0,0,"59864
15.33%","1604
0.41%","61697
15.80%","9447
2.42%","233787
59.88%","9410
2.41%","1272
0.33%","718
0.18%","1100
0.28%","1986
0.51%","523
0.13%","873
0.22%","964
0.25%","3653
0.94%"
6,474329,451925,0,321131,36599,94195,36598,321058,3645,354011,0,0,"52070
14.56%","1532
0.43%","19506
5.45%","12506
3.50%","246884
69.03%","7872
2.20%","1855
0.52%","760
0.21%","1110
0.31%","2673
0.75%","1350
0.38%","833
0.23%","925
0.26%","4135
1.16%"
7,464840,463492,0,310798,36945,115747,36911,310328,3977,343262,2,0,"55889
16.10%","2165
0.62%","20577
5.93%","10583
3.05%","237224
68.32%","6903
1.99%","843
0.24%","639
0.18%","964
0.28%","2345
0.68%","431
0.12%","690
0.20%","760
0.22%","3249
0.94%"
8,504343,477601,0,274488,33647,169448,33646,274124,3496,304274,18,0,"51557
16.75%","1655
0.54%","20599
6.69%","12573
4.09%","191793
62.32%","14539
4.72%","1039
0.34%","639
0.21%","1083
0.35%","2360
0.77%","477
0.15%","842
0.27%","970
0.32%","4148
1.35%"
9,699273,607857,4622,275012,34803,293420,39396,274808,7151,307053,0,0,"84006
26.74%","5619
1.79%","18033
5.74%","35244
11.22%","133946
42.63%","11177
3.56%","1301
0.41%","395
0.13%","1189
0.38%","3946
1.26%","565
0.18%","1464
0.47%","889
0.28%","9279
2.95%"
10,513089,483532,100,422777,12711,47914,12454,422561,2793,432222,30,0,"27653
6.36%","2500
0.57%","12735
2.93%","4337
0.99%","351134
80.72%","22578
5.19%","400
0.09%","5806
1.33%","1629
0.37%","1149
0.26%","401
0.09%","187
0.04%","625
0.14%","1088
0.25%"
