id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,winner_index
Сумма,109204662,99579130,193652,48157320,8133713,43093749,8320802,48008888,1171581,55158109,1203,507,10660669,512418,4252252,2997744,28064200,4201744,753268,291465,431530,715621,86964,357870,450449,1381915,0.1893,0.0091,0.0755,0.0532,0.4982,0.0746,0.0134,0.0052,0.0077,0.0127,0.0015,0.0064,0.008,0.0245,17
1,341943,335533,0,191841,41405,102254,41198,191297,3167,229328,52,19,33871,872,15195,6460,154491,9168,800,401,2386,1874,173,674,736,2227,0.1457,0.0038,0.0654,0.0278,0.6645,0.0394,0.0034,0.0017,0.0103,0.0081,0.0007,0.0029,0.0032,0.0096,17
2,160838,154203,624,68903,4757,79919,5381,68897,1683,72595,0,0,22351,750,5830,3658,28600,6576,332,111,914,1011,58,367,407,1630,0.3009,0.0101,0.0785,0.0492,0.385,0.0885,0.0045,0.0015,0.0123,0.0136,0.0008,0.0049,0.0055,0.0219,17
3,504209,470533,0,332526,45669,92338,45631,332151,3181,374601,0,0,52937,1520,36937,7449,257938,8137,1418,636,920,1664,438,763,723,3121,0.1401,0.004,0.0978,0.0197,0.6828,0.0215,0.0038,0.0017,0.0024,0.0044,0.0012,0.002,0.0019,0.0083,17
4,524412,507472,0,355196,51307,100969,51306,354892,3570,402628,0,0,50118,1848,30201,8459,289151,10479,1455,863,1187,2431,678,888,946,3924,0.1234,0.0045,0.0744,0.0208,0.7118,0.0258,0.0036,0.0021,0.0029,0.006,0.0017,0.0022,0.0023,0.0097,17
5,536125,503437,0,341645,49872,111920,49868,340540,3510,386898,0,0,59864,1604,61697,9447,233787,9410,1272,718,1100,1986,523,873,964,3653,0.1533,0.0041,0.158,0.0242,0.5988,0.0241,0.0033,0.0018,0.0028,0.0051,0.0013,0.0022,0.0025,0.0094,17
6,474329,451925,0,321131,36599,94195,36598,321058,3645,354011,0,0,52070,1532,19506,12506,246884,7872,1855,760,1110,2673,1350,833,925,4135,0.1456,0.0043,0.0545,0.035,0.6903,0.022,0.0052,0.0021,0.0031,0.0075,0.0038,0.0023,0.0026,0.0116,17
7,464840,463492,0,310798,36945,115747,36911,310328,3977,343262,2,0,55889,2165,20577,10583,237224,6903,843,639,964,2345,431,690,760,3249,0.161,0.0062,0.0593,0.0305,0.6832,0.0199,0.0024,0.0018,0.0028,0.0068,0.0012,0.002,0.0022,0.0094,17
8,504343,477601,0,274488,33647,169448,33646,274124,3496,304274,18,0,51557,1655,20599,12573,191793,14539,1039,639,1083,2360,477,842,970,4148,0.1675,0.0054,0.0669,0.0409,0.6232,0.0472,0.0034,0.0021,0.0035,0.0077,0.0015,0.0027,0.0032,0.0135,17
9,699273,607857,4622,275012,34803,293420,39396,274808,7151,307053,0,0,84006,5619,18033,35244,133946,11177,1301,395,1189,3946,565,1464,889,9279,0.2674,0.0179,0.0574,0.1122,0.4263,0.0356,0.0041,0.0013,0.0038,0.0126,0.0018,0.0047,0.0028,0.0295,17
10,513089,483532,100,422777,12711,47914,12454,422561,2793,432222,30,0,27653,2500,12735,4337,351134,22578,400,5806,1629,1149,401,187,625,1088,0.0636,0.0057,0.0293,0.0099,0.8072,0.0519,0.0009,0.0133,0.0037,0.0026,0.0009,0.0004,0.0014,0.0025,17
11,598325,577590,0,495510,13716,68273,13687,495188,2591,506284,99,8,28446,647,12779,3861,413500,32032,830,5871,3300,1760,244,258,739,2017,0.0559,0.0013,0.0251,0.0076,0.8126,0.0629,0.0016,0.0115,0.0065,0.0035,0.0005,0.0005,0.0015,0.004,17
12,588195,579798,0,473449,18281,88040,18255,472951,3719,487487,69,41,32866,731,10230,3031,400335,25128,557,3337,6134,2006,356,394,674,1708,0.0669,0.0015,0.0208,0.0062,0.815,0.0512,0.0011,0.0068,0.0125,0.0041,0.0007,0.0008,0.0014,0.0035,17
13,234660,214556,0,189708,6664,18184,6664,189680,1757,194587,0,0,7174,308,3470,1175,167239,10082,1656,463,636,345,234,248,324,1233,0.0365,0.0016,0.0177,0.006,0.8518,0.0513,0.0084,0.0024,0.0032,0.0018,0.0012,0.0013,0.0017,0.0063,17
14,539787,535501,0,339394,123659,72448,123658,338596,586,461668,0,0,77135,708,1633,304,366099,13413,318,349,291,325,258,268,285,282,0.1669,0.0015,0.0035,0.0007,0.792,0.029,0.0007,0.0008,0.0006,0.0007,0.0006,0.0006,0.0006,0.0006,17
15,196946,190597,0,84775,13710,92110,13710,84653,3225,95138,5,3,25540,756,3381,12026,38875,5761,841,176,871,1860,528,551,388,3584,0.2597,0.0077,0.0344,0.1223,0.3952,0.0586,0.0085,0.0018,0.0089,0.0189,0.0054,0.0056,0.0039,0.0364,17
16,301151,288090,0,183682,85427,18981,85423,183505,890,268038,0,0,35011,478,5061,886,215309,5403,497,329,601,1555,1678,130,524,576,0.1302,0.0018,0.0188,0.0033,0.8006,0.0201,0.0018,0.0012,0.0022,0.0058,0.0062,0.0005,0.0019,0.0021,17
17,510216,461103,595,190898,11162,258434,11711,190539,6877,195373,15,1,32374,1853,19757,14162,64087,23721,15118,2808,2205,4695,212,3090,1790,9501,0.1601,0.0092,0.0977,0.07,0.3169,0.1173,0.0747,0.0139,0.0109,0.0232,0.001,0.0153,0.0089,0.047,17
18,644255,573127,4125,231967,18209,318824,22305,231876,8005,246176,2,0,68314,2996,30400,24332,74839,21165,2199,845,2127,3692,293,3411,2425,9138,0.2688,0.0118,0.1196,0.0957,0.2944,0.0833,0.0087,0.0033,0.0084,0.0145,0.0012,0.0134,0.0095,0.036,17
19,512421,397046,0,192458,48389,156196,48388,191679,6814,233253,3,0,24106,2453,18807,10607,145042,15213,1805,596,1568,2189,330,1664,2851,6022,0.1004,0.0102,0.0783,0.0442,0.6042,0.0634,0.0075,0.0025,0.0065,0.0091,0.0014,0.0069,0.0119,0.0251,17
20,495016,385652,0,197100,52602,135950,52600,196867,6333,243134,0,0,22130,2177,19762,10054,160355,13501,1767,620,1302,2294,335,1667,1627,5543,0.0887,0.0087,0.0792,0.0403,0.6428,0.0541,0.0071,0.0025,0.0052,0.0092,0.0013,0.0067,0.0065,0.0222,17
21,493513,378649,0,205205,50976,122468,50965,204953,6691,249227,0,0,21971,2251,19240,8827,166725,15507,1762,579,1286,1831,283,1585,1600,5780,0.0859,0.0088,0.0752,0.0345,0.6515,0.0606,0.0069,0.0023,0.005,0.0072,0.0011,0.0062,0.0063,0.0226,17
22,531951,503387,0,218972,26314,258096,26314,218915,5969,239260,5,0,89018,1715,19481,15085,81969,15896,1401,762,1274,2962,293,1275,1652,6477,0.363,0.007,0.0794,0.0615,0.3343,0.0648,0.0057,0.0031,0.0052,0.0121,0.0012,0.0052,0.0067,0.0264,13
23,590906,479531,0,312093,72667,94776,72654,311475,5387,378742,9,14,49928,1650,29777,11515,253527,16536,1629,797,1543,3590,493,1236,1196,5325,0.1299,0.0043,0.0775,0.0299,0.66,0.043,0.0042,0.0021,0.004,0.0093,0.0013,0.0032,0.0031,0.0139,17
24,659338,610148,6455,302480,28824,272389,35277,302387,6949,330715,0,0,118683,2455,17354,33317,112160,27643,3534,602,1878,4295,812,1652,1145,5185,0.3515,0.0073,0.0514,0.0987,0.3322,0.0819,0.0105,0.0018,0.0056,0.0127,0.0024,0.0049,0.0034,0.0154,13
25,520743,498501,0,327295,123715,47491,123660,326860,4777,445743,0,0,51782,1869,6430,2518,320410,47507,1670,1511,1141,2314,1440,1600,3293,2258,0.1149,0.0041,0.0143,0.0056,0.7112,0.1054,0.0037,0.0034,0.0025,0.0051,0.0032,0.0036,0.0073,0.005,17
26,497923,471049,0,335044,46336,89669,46326,334695,3425,377596,0,0,38031,1105,9203,3853,304276,9297,1403,1847,1198,2869,626,852,953,2083,0.0998,0.0029,0.0242,0.0101,0.7986,0.0244,0.0037,0.0048,0.0031,0.0075,0.0016,0.0022,0.0025,0.0055,17
27,520716,513454,0,344140,75712,93602,75709,343931,4303,415337,0,0,40627,1148,11217,3593,336157,11168,1587,1748,1198,2451,609,825,789,2220,0.0968,0.0027,0.0267,0.0086,0.8011,0.0266,0.0038,0.0042,0.0029,0.0058,0.0015,0.002,0.0019,0.0053,17
28,433638,439469,285,324159,57759,57266,58044,324030,3788,378286,0,0,37643,777,5293,2784,317703,5381,1110,1288,847,1761,532,714,727,1726,0.0985,0.002,0.0139,0.0073,0.8315,0.0141,0.0029,0.0034,0.0022,0.0046,0.0014,0.0019,0.0019,0.0045,17
29,519310,492363,0,324075,101860,66428,101860,323913,4456,421317,0,0,27705,1039,17405,4874,325481,15802,1005,3841,808,19541,588,685,863,1680,0.0651,0.0024,0.0409,0.0114,0.7644,0.0371,0.0024,0.009,0.0019,0.0459,0.0014,0.0016,0.002,0.0039,17
30,423117,431852,38,300540,61819,69450,61855,300482,2480,359857,5,0,36050,1010,10094,4596,289412,7008,1704,1766,1138,2415,557,803,836,2468,0.0995,0.0028,0.0279,0.0127,0.7987,0.0193,0.0047,0.0049,0.0031,0.0067,0.0015,0.0022,0.0023,0.0068,17
31,546834,508786,0,328375,21285,159126,21284,327808,3613,345479,0,0,43558,1161,12227,3744,260006,13812,1864,1077,1391,1901,677,930,831,2300,0.1248,0.0033,0.035,0.0107,0.7448,0.0396,0.0053,0.0031,0.004,0.0054,0.0019,0.0027,0.0024,0.0066,17
