id,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,percent27,winner_index
Сумма,8984506,541289,3234113,2684092,25201048,4820466,1094775,515020,372767,1639774,383979,122821,826365,1969987,646950,0.169397679608745,0.010205691921724,0.06097733541914,0.050607006675349,0.475151225949698,0.090887106343706,0.020641351240198,0.009710405074766,0.007028306800717,0.030916993070306,0.007239702594469,0.002315719120981,0.015580635489124,0.037142968743005,0.012197869137353,17
1,29366,0,12356,10109,0,14349,0,0,0,10468,0,0,0,0,150217,0.129442620060388,0,0.054464077535218,0.044559514390055,0,0.063249032741408,0,0,0,0.046141952382539,0,0,0,0,0.662142306175766,27
2,21967,1378,3824,2753,23545,11843,0,0,2490,1944,0,0,0,1654,0,0.307669682624163,0.019300177342791,0.053558677945133,0.038558326459977,0.329769631856209,0.165872234023066,0,0,0.034874766758206,0.027227528746166,0,0,0,0.023165808922921,0,17
3,41614,0,33888,9517,247015,11430,3204,3085,0,9707,0,0,3144,5930,0,0.112917668383378,0,0.091953495788247,0.025823932348228,0.670263596616316,0.031014767966822,0.008693903461566,0.008371002552725,0,0.026339488421167,0,0,0.008531096280638,0.016090776381737,0,17
4,53807,8444,18938,11569,256876,23653,5639,3306,0,0,0,0,0,13575,0,0.135942517439055,0.021333622446934,0.047846532463757,0.029228880244651,0.648992811973805,0.059758899163863,0.014246836865726,0.008352552345822,0,0,0,0,0,0.034297004868281,0,17
5,48746,7226,45276,7988,228980,9181,5363,0,4485,10235,0,0,7163,7682,0,0.127498855685608,0.018900144092731,0.118422762474403,0.020893211119479,0.598914306727377,0.02401359179869,0.014027327395314,0,0.011730852763002,0.026770407587365,0,0,0.018735361949027,0.020092845245348,0,17
6,52744,6291,9128,10996,66535,10974,4788,5634,0,0,166107,0,4508,13784,0,0.150058750060457,0.017898134263742,0.025969505840134,0.031284036614604,0.189294595866925,0.031221445781072,0.013622041406941,0.016028943460047,0,0,0.472580708434166,0,0.012825430798348,0.039216002245881,0,23
7,46187,11653,10781,0,223393,13242,0,5400,0,14904,0,0,3348,12182,0,0.13541000908851,0.034163990072573,0.031607477909624,0,0.65493825365593,0.038822578840482,0,0.015831590827564,0,0.043695190684077,0,0,0.00981558631309,0.035714896196553,0,17
8,41010,0,14903,11281,164753,42880,3529,0,0,0,0,0,10330,12312,0,0.136246752470116,0,0.049511934478501,0.037478637378512,0.547355548623526,0.142459353850775,0.011724325087206,0,0,0,0,0,0.034319149376831,0.040903907756781,0,17
9,61429,23081,7234,19628,115716,17338,0,0,3278,13060,15565,0,0,22692,0,0.205433732079018,0.077188505632973,0.024192257944191,0.065640812680202,0.386982488287255,0.057982494917941,0,0,0.010962430403796,0.043675820949839,0.052053151078426,0,0,0.075887574961236,0,17
10,25136,2648,7927,3214,369167,15139,2351,0,0,0,0,0,3843,2286,0,0.058224136053981,0.006133732156162,0.018361818017777,0.007444794135125,0.855125176254408,0.035067435722357,0.005445771938917,0,0,0,0,0,0.008901787137923,0.005295208274081,0,17
11,29744,3355,14065,6119,406624,22809,6125,0,0,0,0,0,7053,7797,0,0.059052077563427,0.006660828973844,0.027923862378009,0.012148319508783,0.807288490266308,0.04528370970352,0.012160231572365,0,0,0,0,0,0.014002630739573,0.015479726623629,0,17
12,21959,4691,5599,6161,358063,70369,2583,0,0,0,0,0,7608,5989,0,0.045461697396806,0.009711772048657,0.011591603199132,0.012755111146607,0.741297413161409,0.145684858996197,0.005347581900939,0,0,0,0,0,0.015750833566529,0.012399019746312,0,17
13,12820,0,8347,0,141040,19572,0,0,0,0,0,0,0,12479,0,0.065994708068651,0,0.042968614750995,0,0.726044497960986,0.100752573128846,0,0,0,0,0,0,0,0.064239288783715,0,17
14,63563,0,16682,0,321114,51450,1562,0,0,0,0,0,5395,0,0,0.138250762344323,0,0.03628366382846,0,0.698428990925078,0.11190471789799,0.003397379384969,0,0,0,0,0,0.011734226492899,0,0,17
15,21835,0,3335,8080,39717,6740,1953,0,4035,0,2028,0,1053,4762,0,0.233434539973059,0,0.035653869840656,0.086381789598951,0.424607120977913,0.072056096769422,0.020879162758261,0,0.043137440721753,0,0.021680973924093,0,0.011257428768279,0.05090966362255,0,17
16,28917,3352,10948,1960,210632,6108,1359,0,0,3602,0,0,0,0,0,0.108352880342329,0.01256004106402,0.04102247109111,0.007344176410173,0.78924416613652,0.022886851792519,0.005092212112972,0,0,0.013496797668084,0,0,0,0,0,17
17,26368,0,10555,10122,55677,25858,29751,8956,7951,0,0,0,2105,12497,0,0.13889591234724,0,0.055599411491093,0.05331854506043,0.29328360337182,0.136209339870836,0.156716067387162,0.04717653522636,0.041882607367663,0,0,0,0.011088276758764,0.065829071094665,0,17
18,81407,0,21186,19060,67531,23257,0,0,0,16926,0,9105,0,0,0,0.341369217350465,0,0.088840491431241,0.079925411435828,0.283181687286092,0.097524936713697,0,0,0,0.070976784573076,0,0.038180528390515,0,0,0,13
19,16021,7000,15048,18396,112204,16064,0,0,0,8820,0,0,11199,11069,0,0.074232813303617,0.032434274664248,0.069724413114108,0.085237261007917,0.519893543929783,0.07443201570076,0,0,0,0.040867179935303,0,0,0.051890198196763,0.051287847472093,0,17
20,14379,3760,16225,13697,153043,11625,0,0,0,6500,0,0,4185,7135,0,0.062368520357928,0.016308893045897,0.070375470997662,0.059410343682895,0.66381961219693,0.050423103257185,0,0,0,0.028193563111544,0,0,0.018152317172587,0.03094785735398,0,17
21,13753,4523,11246,8648,0,23678,0,0,0,17046,0,0,4988,9079,144080,0.058019498736506,0.019081082567679,0.047443253876323,0.036483128180904,0,0.099889859975421,0,0,0,0.071911586837614,0,0,0.02104276634671,0.038301378440614,0.607827140183235,27
22,122851,0,8502,7838,0,18463,0,1498,0,16740,2336,0,4966,8165,41961,0.526534373392765,0,0.036439142866187,0.033593272381225,0,0.079131486090145,0,0.006420352389267,0,0.07174679505763,0.010011978091674,0,0.021284025343859,0.034994777876078,0.17984272804141,13
23,51526,0,33235,15312,220015,24137,0,0,0,13049,0,0,0,15699,0,0.138149410279028,0,0.089108293870446,0.041053894862171,0.589895028611588,0.064715116267518,0,0,0,0.034986433781118,0,0,0,0.042091503098304,0,17
24,69215,20067,12446,49703,64275,62597,18322,0,0,0,8611,0,5259,0,0,0.222918243449975,0.064629013649218,0.040084344269173,0.1600765035522,0.207007972674037,0.201603703858059,0.059008947107487,0,0,0,0.027733110115848,0,0.016937455127075,0,0,13
